nsites,Chemsys,material_id,ordering,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_atoms,formation_energy_per_atom,energy_above_hull
10,Ce-Pd-Sn,mp-1080026,FM,2.0634717,0.00917237,0.20634717,-0.720843476,0
20,Ce-S-Tm,mp-1188911,FM,2.0004402,0.004360081,0.10002201,-2.394037201,0
20,Ce-S-Y,mp-1006324,FM,1.9999103,0.004194853,0.099995515,-2.397827941,0
46,Ce-Ir-Zn,mp-1199912,FM,0.8881251,0.001207654,0.019307067,-0.229453045,0
7,Au-Ce-Zn,mp-1077954,FM,0.9649291,0.007345659,0.137847014,-0.488790637,0
14,Ce-P-Zn,mp-1213847,FM,1.9998918,0.007098136,0.142849414,-0.586407387,0
21,Ce-Ge-Ni,mp-1213990,FiM,8.8642055,0.017978091,0.422105024,-0.601010985,0
24,Ce-In-Ni,mp-1192200,FM,5.1088545,0.008808971,0.212868938,-0.385920253,0
31,Ce-O,mp-505619,FM,3.9999999,0.008774002,0.129032255,-3.790588384,0
32,C-Ce-Re,mp-1203675,FM,3.5503106,0.006684575,0.110947206,-0.276299818,0
70,C-Ce-I,mp-684020,FM,26.3104937,0.010956224,0.375864196,-1.263527086,0
62,Ce-Ni-Si,mp-624355,FiM,3.8965615,0.002899063,0.062847766,-0.653829274,0
50,Ce-Ru,mp-570369,FM,8.0159492,0.006752387,0.160318984,-0.326098699,0
28,Al-Ce-Rh,mp-1213916,FM,2.4036459,0.005071434,0.085844496,-0.846833183,0
80,Al-Ce-Ru,mp-567554,FM,4.0153178,0.00297282,0.050191473,-0.527483765,0
17,B-Ce-Rh,mp-1227070,FM,1.8179145,0.007782094,0.106936147,-0.695644036,0
11,C-Ce-N,mp-1213867,FM,1.9999997,0.012537068,0.181818155,-0.894698347,0
28,Ce-Ga-Ir,mp-1213877,FM,2.6781818,0.005644498,0.09564935,-0.671997028,0
28,Ce-Ga-Rh,mp-1213907,FM,2.9407967,0.006187674,0.105028454,-0.694411884,0
8,Ce-In-Sn,mp-1227310,FM,1.9863792,0.009423013,0.2482974,-0.482971991,0
29,Ce-Pd-Si,mp-1193751,FM,1.0878832,0.002350898,0.037513214,-0.715721517,0
8,Ce-Sn-Tl,mp-1226905,FM,2.0433114,0.009338872,0.255413925,-0.397468232,0
11,Ce-Ge-Zn,mp-11665,FM,2.0314906,0.009884133,0.184680964,-0.385433355,0
22,Ce-Ge-Zn,mp-17567,FM,4.0800949,0.00937912,0.185458859,-0.391224771,0
120,Ce-Mg-Zn,mp-569703,FM,9.598289,0.004229546,0.079985742,-0.258942945,0
27,Al-Ce-Pt,mp-570981,FM,1.8437714,0.004071886,0.06828783,-0.998514541,0
18,Al-Ce-Ge,mp-18232,FM,4.3716744,0.012069105,0.2428708,-0.467086602,0
18,Al-Ce-Ge,mp-1105912,FM,2.7591491,0.007243562,0.153286061,-0.436916808,0
24,Al-Ce-Ru,mp-1190720,FiM,5.92842,0.011371641,0.2470175,-0.497948383,0
10,Al-Ce-Ru,mp-1078316,FM,1.2621623,0.006148317,0.12621623,-0.515097476,0
18,B-Ce-Ir,mp-30898,FM,0.1409501,0.000506757,0.007830561,-0.758115221,0
6,Bi-Ce,mp-1077367,FM,6.7208028,0.034185957,1.1201338,-0.80249299,0
5,Bi-Ce-O,mp-23003,FM,1.5003335,0.013967712,0.3000667,-2.884931981,0
